user_id,member_level,consumption_level,segment,freq_g,total_spent,order_frequency,repurchase_probability,建议动作
U000088,铜牌会员,高,价值用户,复购≥2次,20459.54,2.0,0.87827,会员专属权益(不主发券)
U003541,普通会员,高,价值用户,复购≥2次,18405.31,2.0,0.877822,会员专属权益(不主发券)
U001627,钻石会员,高,价值用户,复购≥2次,11382.65,4.0,0.876283,会员专属权益(不主发券)
U004994,银牌会员,高,价值用户,复购≥2次,32986.23,3.0,0.875914,会员专属权益(不主发券)
U000234,铜牌会员,高,价值用户,复购≥2次,31425.44,3.0,0.874705,会员专属权益(不主发券)
U001658,金牌会员,高,价值用户,复购≥2次,25234.5,2.0,0.87463,会员专属权益(不主发券)
U001619,金牌会员,高,价值用户,复购≥2次,10662.45,2.0,0.873821,会员专属权益(不主发券)
U003050,铜牌会员,高,价值用户,复购≥2次,21694.34,4.0,0.873741,会员专属权益(不主发券)
U001741,铜牌会员,高,价值用户,复购≥2次,12063.29,4.0,0.873497,会员专属权益(不主发券)
U001907,银牌会员,高,价值用户,复购≥2次,37438.85,2.0,0.87345,会员专属权益(不主发券)
U000091,钻石会员,高,价值用户,复购≥2次,19040.7,3.0,0.873209,会员专属权益(不主发券)
U002833,银牌会员,高,价值用户,复购≥2次,32220.94,3.0,0.873206,会员专属权益(不主发券)
U000140,钻石会员,高,价值用户,复购≥2次,35207.32,4.0,0.873195,会员专属权益(不主发券)
U000552,铜牌会员,高,价值用户,复购≥2次,26839.1,4.0,0.872655,会员专属权益(不主发券)
U000535,钻石会员,高,价值用户,复购≥2次,23052.38,2.0,0.871762,会员专属权益(不主发券)
U002391,普通会员,高,价值用户,复购≥2次,36660.45,3.0,0.87071,会员专属权益(不主发券)
U002217,铜牌会员,高,价值用户,复购≥2次,34473.03,2.0,0.870673,会员专属权益(不主发券)
U003611,普通会员,高,价值用户,复购≥2次,24123.02,2.0,0.870476,会员专属权益(不主发券)
U000154,银牌会员,高,价值用户,复购≥2次,21444.88,2.0,0.870385,会员专属权益(不主发券)
U001430,普通会员,高,价值用户,复购≥2次,17432.19,3.0,0.870378,会员专属权益(不主发券)
U000261,普通会员,高,价值用户,复购≥2次,26801.2,4.0,0.869407,会员专属权益(不主发券)
U004848,银牌会员,高,价值用户,复购≥2次,12953.38,4.0,0.869387,会员专属权益(不主发券)
U000620,普通会员,高,价值用户,复购≥2次,29269.01,4.0,0.869309,会员专属权益(不主发券)
U004637,普通会员,高,价值用户,复购≥2次,19190.91,3.0,0.868443,会员专属权益(不主发券)
U001075,铜牌会员,高,价值用户,复购≥2次,29267.3,2.0,0.868433,会员专属权益(不主发券)
U004928,银牌会员,高,价值用户,复购≥2次,26807.35,3.0,0.867655,会员专属权益(不主发券)
U004776,普通会员,高,价值用户,复购≥2次,28364.39,2.0,0.867536,会员专属权益(不主发券)
U003027,银牌会员,高,价值用户,复购≥2次,25236.79,3.0,0.866981,会员专属权益(不主发券)
U004533,普通会员,高,价值用户,复购≥2次,39660.62,2.0,0.866352,会员专属权益(不主发券)
U004170,铜牌会员,高,价值用户,复购≥2次,16766.19,2.0,0.866027,会员专属权益(不主发券)
U003191,银牌会员,高,价值用户,复购≥2次,10522.44,2.0,0.865587,会员专属权益(不主发券)
U004271,铜牌会员,高,价值用户,复购≥2次,11384.11,2.0,0.864938,会员专属权益(不主发券)
U004456,银牌会员,高,价值用户,复购≥2次,15845.78,2.0,0.864318,会员专属权益(不主发券)
U002137,铜牌会员,高,价值用户,复购≥2次,15127.75,4.0,0.864049,会员专属权益(不主发券)
U003479,铜牌会员,高,价值用户,复购≥2次,20984.07,2.0,0.863562,会员专属权益(不主发券)
U004064,金牌会员,高,价值用户,复购≥2次,25552.96,2.0,0.863427,会员专属权益(不主发券)
U001373,钻石会员,高,价值用户,复购≥2次,15605.47,2.0,0.863347,会员专属权益(不主发券)
U001914,银牌会员,高,价值用户,复购≥2次,34066.76,2.0,0.863184,会员专属权益(不主发券)
U002093,铜牌会员,高,价值用户,复购≥2次,12631.99,2.0,0.862936,会员专属权益(不主发券)
U000173,铜牌会员,高,价值用户,复购≥2次,19176.13,3.0,0.862214,会员专属权益(不主发券)
U003362,普通会员,高,价值用户,复购≥2次,17148.45,6.0,0.861812,会员专属权益(不主发券)
U003759,银牌会员,高,价值用户,复购≥2次,17080.18,3.0,0.860703,会员专属权益(不主发券)
U004188,银牌会员,高,价值用户,复购≥2次,13694.71,3.0,0.86046,会员专属权益(不主发券)
U002104,铜牌会员,高,价值用户,复购≥2次,22192.18,2.0,0.860124,会员专属权益(不主发券)
U002960,铜牌会员,高,价值用户,复购≥2次,25601.98,2.0,0.859641,会员专属权益(不主发券)
U002862,铜牌会员,高,价值用户,复购≥2次,14256.28,2.0,0.859437,会员专属权益(不主发券)
U004647,铜牌会员,高,价值用户,复购≥2次,26856.36,6.0,0.859081,会员专属权益(不主发券)
U002835,铜牌会员,高,价值用户,复购≥2次,25583.37,3.0,0.858483,会员专属权益(不主发券)
U000445,银牌会员,高,价值用户,复购≥2次,24989.69,3.0,0.858241,会员专属权益(不主发券)
U000669,银牌会员,高,价值用户,复购≥2次,14501.01,2.0,0.85781,会员专属权益(不主发券)
U000343,银牌会员,高,价值用户,复购≥2次,25024.87,4.0,0.857788,会员专属权益(不主发券)
U000363,银牌会员,高,价值用户,复购≥2次,14509.56,5.0,0.857468,会员专属权益(不主发券)
U004670,银牌会员,高,价值用户,复购≥2次,22117.25,2.0,0.857228,会员专属权益(不主发券)
U000045,钻石会员,高,价值用户,复购≥2次,35678.04,2.0,0.855691,会员专属权益(不主发券)
U002595,银牌会员,高,价值用户,复购≥2次,21490.97,2.0,0.855315,会员专属权益(不主发券)
U000035,钻石会员,高,价值用户,复购≥2次,18341.97,5.0,0.854737,会员专属权益(不主发券)
U002107,银牌会员,高,价值用户,复购≥2次,13017.16,2.0,0.854143,会员专属权益(不主发券)
U004839,银牌会员,高,价值用户,复购≥2次,26180.45,3.0,0.853653,会员专属权益(不主发券)
U002167,金牌会员,高,价值用户,复购≥2次,23860.39,2.0,0.852809,会员专属权益(不主发券)
U000464,普通会员,高,价值用户,复购≥2次,31156.63,2.0,0.852444,会员专属权益(不主发券)
U001293,铜牌会员,高,价值用户,复购≥2次,31820.54,3.0,0.852238,会员专属权益(不主发券)
U004000,铜牌会员,高,价值用户,复购≥2次,29409.75,4.0,0.852237,会员专属权益(不主发券)
U003269,银牌会员,高,价值用户,复购≥2次,10036.52,2.0,0.852189,会员专属权益(不主发券)
U003173,银牌会员,高,价值用户,复购≥2次,10562.48,2.0,0.851511,会员专属权益(不主发券)
U004908,普通会员,高,价值用户,复购≥2次,33385.26,2.0,0.851509,会员专属权益(不主发券)
U002256,普通会员,高,价值用户,复购≥2次,25171.48,2.0,0.851399,会员专属权益(不主发券)
U001634,铜牌会员,高,价值用户,复购≥2次,31852.88,3.0,0.851094,会员专属权益(不主发券)
U004275,金牌会员,高,价值用户,复购≥2次,13581.1,3.0,0.850662,会员专属权益(不主发券)
U002891,铜牌会员,高,价值用户,复购≥2次,29702.85,3.0,0.849934,会员专属权益(不主发券)
U001360,铜牌会员,高,价值用户,复购≥2次,11062.84,2.0,0.849913,会员专属权益(不主发券)
U004984,银牌会员,高,价值用户,复购≥2次,11189.48,3.0,0.849662,会员专属权益(不主发券)
U002789,银牌会员,高,价值用户,复购≥2次,28562.56,2.0,0.848369,会员专属权益(不主发券)
U003167,普通会员,高,价值用户,复购≥2次,31762.73,4.0,0.848221,会员专属权益(不主发券)
U001367,银牌会员,高,价值用户,仅1单,25859.13,1.0,0.8481,会员专属权益(不主发券)
U000727,银牌会员,高,价值用户,复购≥2次,15626.81,3.0,0.848042,会员专属权益(不主发券)
U001872,铜牌会员,高,价值用户,复购≥2次,20219.04,4.0,0.847925,会员专属权益(不主发券)
U003548,金牌会员,高,价值用户,复购≥2次,21198.62,2.0,0.847407,会员专属权益(不主发券)
U002303,银牌会员,高,价值用户,复购≥2次,15844.43,2.0,0.847376,会员专属权益(不主发券)
U003799,银牌会员,高,价值用户,复购≥2次,17681.0,3.0,0.846547,会员专属权益(不主发券)
U004968,钻石会员,高,价值用户,复购≥2次,15154.44,2.0,0.846362,会员专属权益(不主发券)
U000274,普通会员,高,价值用户,复购≥2次,16933.6,3.0,0.846229,会员专属权益(不主发券)
U004073,铜牌会员,高,价值用户,复购≥2次,13004.81,4.0,0.846221,会员专属权益(不主发券)
U003973,普通会员,高,价值用户,复购≥2次,19955.92,2.0,0.846186,会员专属权益(不主发券)
U003009,银牌会员,高,价值用户,复购≥2次,17748.56,3.0,0.845973,会员专属权益(不主发券)
U000099,金牌会员,高,价值用户,复购≥2次,11814.87,3.0,0.845591,会员专属权益(不主发券)
U004920,银牌会员,高,价值用户,复购≥2次,32141.18,2.0,0.845428,会员专属权益(不主发券)
U003500,铜牌会员,高,价值用户,复购≥2次,11389.0,3.0,0.845117,会员专属权益(不主发券)
U002809,银牌会员,高,价值用户,复购≥2次,52206.81,2.0,0.844943,会员专属权益(不主发券)
U001037,金牌会员,高,价值用户,复购≥2次,16260.51,2.0,0.844846,会员专属权益(不主发券)
U004005,普通会员,高,价值用户,复购≥2次,26244.97,3.0,0.844447,会员专属权益(不主发券)
U001092,普通会员,高,价值用户,复购≥2次,25028.37,5.0,0.844323,会员专属权益(不主发券)
U001998,铜牌会员,高,价值用户,复购≥2次,13673.39,3.0,0.844152,会员专属权益(不主发券)
U002057,金牌会员,高,价值用户,复购≥2次,32106.07,3.0,0.843828,会员专属权益(不主发券)
U002124,普通会员,高,价值用户,复购≥2次,22872.3,2.0,0.843539,会员专属权益(不主发券)
U000972,银牌会员,高,价值用户,复购≥2次,25155.98,4.0,0.843443,会员专属权益(不主发券)
U004680,铜牌会员,高,价值用户,复购≥2次,20004.03,2.0,0.843295,会员专属权益(不主发券)
U004011,银牌会员,高,价值用户,复购≥2次,25212.49,5.0,0.843218,会员专属权益(不主发券)
U003616,银牌会员,高,价值用户,复购≥2次,36607.09,4.0,0.843179,会员专属权益(不主发券)
U004924,银牌会员,高,价值用户,复购≥2次,26252.77,2.0,0.842925,会员专属权益(不主发券)
U003870,铜牌会员,高,价值用户,复购≥2次,13216.96,3.0,0.842528,会员专属权益(不主发券)
U004836,银牌会员,高,价值用户,复购≥2次,21836.3,2.0,0.842266,会员专属权益(不主发券)
U003493,铜牌会员,高,价值用户,复购≥2次,19220.12,4.0,0.841614,会员专属权益(不主发券)
U004810,普通会员,高,价值用户,复购≥2次,27310.88,2.0,0.841172,会员专属权益(不主发券)
U000759,金牌会员,高,价值用户,复购≥2次,12269.8,2.0,0.840169,会员专属权益(不主发券)
U001558,银牌会员,高,价值用户,复购≥2次,25584.89,4.0,0.840047,会员专属权益(不主发券)
U001906,铜牌会员,高,价值用户,复购≥2次,15783.29,4.0,0.839653,会员专属权益(不主发券)
U001191,金牌会员,高,价值用户,复购≥2次,20215.57,3.0,0.839576,会员专属权益(不主发券)
U001313,银牌会员,高,价值用户,复购≥2次,15411.04,3.0,0.838985,会员专属权益(不主发券)
U004900,铜牌会员,高,价值用户,复购≥2次,13425.73,3.0,0.838857,会员专属权益(不主发券)
U003885,普通会员,高,价值用户,复购≥2次,10421.46,2.0,0.83854,会员专属权益(不主发券)
U003281,银牌会员,高,价值用户,复购≥2次,12247.4,2.0,0.837627,会员专属权益(不主发券)
U002608,银牌会员,高,价值用户,复购≥2次,11725.4,4.0,0.83755,会员专属权益(不主发券)
U002027,铜牌会员,高,价值用户,复购≥2次,39641.57,3.0,0.836636,会员专属权益(不主发券)
U002747,钻石会员,高,价值用户,复购≥2次,22988.06,5.0,0.836078,会员专属权益(不主发券)
U003400,银牌会员,高,价值用户,复购≥2次,20696.08,4.0,0.835418,会员专属权益(不主发券)
U004176,铜牌会员,高,价值用户,复购≥2次,50526.29,2.0,0.834809,会员专属权益(不主发券)
U002791,铜牌会员,高,价值用户,复购≥2次,40536.05,3.0,0.834611,会员专属权益(不主发券)
U003715,银牌会员,高,价值用户,复购≥2次,20791.42,5.0,0.83453,会员专属权益(不主发券)
U001304,普通会员,高,价值用户,复购≥2次,12871.39,5.0,0.834269,会员专属权益(不主发券)
U001357,普通会员,高,价值用户,复购≥2次,21864.55,3.0,0.834121,会员专属权益(不主发券)
U000458,普通会员,高,价值用户,复购≥2次,33580.16,3.0,0.83403,会员专属权益(不主发券)
U004374,铜牌会员,高,价值用户,复购≥2次,17382.18,2.0,0.833718,会员专属权益(不主发券)
U001839,银牌会员,高,价值用户,复购≥2次,24229.28,3.0,0.833453,会员专属权益(不主发券)
U002672,普通会员,高,价值用户,复购≥2次,42538.2,7.0,0.833187,会员专属权益(不主发券)
U004283,铜牌会员,高,价值用户,复购≥2次,23716.98,6.0,0.833033,会员专属权益(不主发券)
U003808,普通会员,高,价值用户,复购≥2次,19451.66,2.0,0.833013,会员专属权益(不主发券)
U002748,银牌会员,高,价值用户,复购≥2次,17556.25,2.0,0.832783,会员专属权益(不主发券)
U001508,铜牌会员,高,价值用户,复购≥2次,30577.56,2.0,0.832379,会员专属权益(不主发券)
U001412,金牌会员,高,价值用户,复购≥2次,34286.26,3.0,0.832106,会员专属权益(不主发券)
U001829,银牌会员,高,价值用户,复购≥2次,24595.28,2.0,0.831744,会员专属权益(不主发券)
U003897,普通会员,高,价值用户,复购≥2次,25727.69,2.0,0.83042,会员专属权益(不主发券)
U002180,金牌会员,高,价值用户,复购≥2次,15519.67,3.0,0.829835,会员专属权益(不主发券)
U004042,银牌会员,高,价值用户,复购≥2次,39127.95,2.0,0.829251,会员专属权益(不主发券)
U003843,普通会员,高,价值用户,复购≥2次,28982.57,2.0,0.829166,会员专属权益(不主发券)
U000214,铜牌会员,高,价值用户,复购≥2次,31604.53,2.0,0.829111,会员专属权益(不主发券)
U004105,银牌会员,高,价值用户,复购≥2次,64070.23,5.0,0.829072,会员专属权益(不主发券)
U004706,普通会员,高,价值用户,复购≥2次,18323.96,3.0,0.828321,会员专属权益(不主发券)
U004554,银牌会员,高,价值用户,复购≥2次,44771.97,2.0,0.828127,会员专属权益(不主发券)
U000817,铜牌会员,高,价值用户,复购≥2次,12272.48,2.0,0.827658,会员专属权益(不主发券)
U003240,银牌会员,高,价值用户,复购≥2次,29481.49,2.0,0.827595,会员专属权益(不主发券)
U002881,铜牌会员,高,价值用户,复购≥2次,25252.55,3.0,0.827164,会员专属权益(不主发券)
U003451,铜牌会员,高,价值用户,复购≥2次,33601.5,3.0,0.82695,会员专属权益(不主发券)
U003764,普通会员,高,价值用户,复购≥2次,14690.04,2.0,0.82694,会员专属权益(不主发券)
U003800,银牌会员,高,价值用户,复购≥2次,16200.96,4.0,0.826484,会员专属权益(不主发券)
U003931,铜牌会员,高,价值用户,复购≥2次,15570.32,2.0,0.825962,会员专属权益(不主发券)
U004513,金牌会员,高,价值用户,复购≥2次,13912.14,4.0,0.825809,会员专属权益(不主发券)
U002563,铜牌会员,高,价值用户,复购≥2次,12804.7,6.0,0.825724,会员专属权益(不主发券)
U001621,普通会员,高,价值用户,复购≥2次,30254.39,3.0,0.825723,会员专属权益(不主发券)
U004268,钻石会员,高,价值用户,复购≥2次,29182.02,2.0,0.82492,会员专属权益(不主发券)
U001539,普通会员,高,价值用户,复购≥2次,11273.0,3.0,0.824912,会员专属权益(不主发券)
U002637,金牌会员,高,价值用户,复购≥2次,18601.73,2.0,0.824737,会员专属权益(不主发券)
U002539,钻石会员,高,价值用户,复购≥2次,18872.75,3.0,0.824642,会员专属权益(不主发券)
U001156,铜牌会员,高,价值用户,复购≥2次,17814.74,3.0,0.824292,会员专属权益(不主发券)
U003001,铜牌会员,高,价值用户,复购≥2次,14094.64,2.0,0.824223,会员专属权益(不主发券)
U000981,银牌会员,高,价值用户,复购≥2次,30175.44,4.0,0.82399,会员专属权益(不主发券)
U000440,铜牌会员,高,价值用户,复购≥2次,27178.84,4.0,0.823872,会员专属权益(不主发券)
U001680,银牌会员,高,价值用户,复购≥2次,29719.72,4.0,0.823865,会员专属权益(不主发券)
U003205,铜牌会员,高,价值用户,复购≥2次,11035.42,2.0,0.823696,会员专属权益(不主发券)
U002393,铜牌会员,高,价值用户,复购≥2次,26780.02,2.0,0.823549,会员专属权益(不主发券)
U002542,铜牌会员,高,价值用户,复购≥2次,21372.93,3.0,0.823331,会员专属权益(不主发券)
U001141,铜牌会员,高,价值用户,复购≥2次,14584.75,5.0,0.823275,会员专属权益(不主发券)
U000632,钻石会员,高,价值用户,复购≥2次,26609.23,3.0,0.823151,会员专属权益(不主发券)
U002496,普通会员,高,价值用户,复购≥2次,25449.34,3.0,0.822586,会员专属权益(不主发券)
U000053,铜牌会员,高,价值用户,复购≥2次,39966.51,2.0,0.822553,会员专属权益(不主发券)
U003157,钻石会员,高,价值用户,复购≥2次,36439.75,3.0,0.822384,会员专属权益(不主发券)
U004107,铜牌会员,高,价值用户,复购≥2次,16210.16,3.0,0.822267,会员专属权益(不主发券)
U003643,普通会员,高,价值用户,复购≥2次,24199.09,4.0,0.822169,会员专属权益(不主发券)
U002824,金牌会员,高,价值用户,复购≥2次,28143.05,4.0,0.821694,会员专属权益(不主发券)
U001885,普通会员,高,价值用户,复购≥2次,29644.31,4.0,0.821353,会员专属权益(不主发券)
U002858,普通会员,高,价值用户,复购≥2次,29496.11,3.0,0.821292,会员专属权益(不主发券)
U003359,银牌会员,高,价值用户,复购≥2次,20130.66,4.0,0.820981,会员专属权益(不主发券)
U002911,普通会员,高,价值用户,复购≥2次,12478.13,3.0,0.82093,会员专属权益(不主发券)
U001736,金牌会员,高,价值用户,复购≥2次,12828.89,2.0,0.820714,会员专属权益(不主发券)
U001161,银牌会员,高,价值用户,复购≥2次,17738.65,3.0,0.819806,会员专属权益(不主发券)
U001059,金牌会员,高,价值用户,复购≥2次,16244.46,3.0,0.81972,会员专属权益(不主发券)
U003936,金牌会员,高,价值用户,复购≥2次,15669.84,3.0,0.81944,会员专属权益(不主发券)
U004883,银牌会员,高,价值用户,复购≥2次,13914.54,3.0,0.81908,会员专属权益(不主发券)
U000340,铜牌会员,高,价值用户,复购≥2次,18215.03,3.0,0.818886,会员专属权益(不主发券)
U001806,普通会员,高,价值用户,复购≥2次,16847.53,3.0,0.818796,会员专属权益(不主发券)
U002597,普通会员,高,价值用户,复购≥2次,10843.26,3.0,0.818454,会员专属权益(不主发券)
U004422,铜牌会员,高,价值用户,复购≥2次,11819.68,2.0,0.817968,会员专属权益(不主发券)
U003862,金牌会员,高,价值用户,复购≥2次,25091.63,3.0,0.817927,会员专属权益(不主发券)
U004212,普通会员,高,价值用户,复购≥2次,11464.69,2.0,0.817843,会员专属权益(不主发券)
U003518,铜牌会员,高,价值用户,复购≥2次,17612.46,2.0,0.817523,会员专属权益(不主发券)
U002293,金牌会员,高,价值用户,复购≥2次,11310.78,2.0,0.817075,会员专属权益(不主发券)
U002198,普通会员,高,价值用户,复购≥2次,19338.43,2.0,0.81702,会员专属权益(不主发券)
U004338,铜牌会员,高,价值用户,复购≥2次,15065.48,2.0,0.816404,会员专属权益(不主发券)
U001873,银牌会员,高,价值用户,从未下单,22267.59,0.0,0.816339,会员专属权益(不主发券)
U000905,普通会员,高,价值用户,复购≥2次,26346.08,3.0,0.816069,会员专属权益(不主发券)
U000040,普通会员,高,价值用户,复购≥2次,28892.82,3.0,0.815997,会员专属权益(不主发券)
U004285,铜牌会员,高,价值用户,复购≥2次,13636.12,2.0,0.815466,会员专属权益(不主发券)
U004431,铜牌会员,高,价值用户,复购≥2次,10006.88,3.0,0.814992,会员专属权益(不主发券)
U001768,铜牌会员,高,价值用户,复购≥2次,20077.54,2.0,0.814335,会员专属权益(不主发券)
U004583,普通会员,高,价值用户,复购≥2次,13452.69,4.0,0.814281,会员专属权益(不主发券)
U001246,普通会员,高,价值用户,复购≥2次,34737.37,2.0,0.814118,会员专属权益(不主发券)
U004806,普通会员,高,价值用户,复购≥2次,18377.68,2.0,0.81376,会员专属权益(不主发券)
U003369,普通会员,高,价值用户,复购≥2次,19697.58,4.0,0.813092,会员专属权益(不主发券)
U001227,银牌会员,高,价值用户,复购≥2次,37418.49,3.0,0.811816,会员专属权益(不主发券)
U000031,普通会员,高,价值用户,复购≥2次,26876.56,4.0,0.811139,会员专属权益(不主发券)
U004459,铜牌会员,高,价值用户,复购≥2次,13898.7,2.0,0.811058,会员专属权益(不主发券)
U004276,银牌会员,高,价值用户,复购≥2次,10550.2,3.0,0.81102,会员专属权益(不主发券)
U004294,铜牌会员,高,价值用户,复购≥2次,28484.26,3.0,0.810985,会员专属权益(不主发券)
U004310,普通会员,高,价值用户,复购≥2次,20124.79,2.0,0.810889,会员专属权益(不主发券)
U004110,铜牌会员,高,价值用户,复购≥2次,11306.45,2.0,0.810789,会员专属权益(不主发券)
U000080,铜牌会员,高,价值用户,复购≥2次,37504.96,5.0,0.81069,会员专属权益(不主发券)
U002849,铜牌会员,高,价值用户,复购≥2次,10763.37,2.0,0.810686,会员专属权益(不主发券)
U000077,铜牌会员,高,价值用户,复购≥2次,15341.41,3.0,0.810658,会员专属权益(不主发券)
U000946,普通会员,高,价值用户,复购≥2次,29383.81,2.0,0.810431,会员专属权益(不主发券)
U001788,普通会员,高,价值用户,复购≥2次,24551.3,2.0,0.810333,会员专属权益(不主发券)
U000187,铜牌会员,高,价值用户,复购≥2次,25473.33,2.0,0.809813,会员专属权益(不主发券)
U001379,银牌会员,高,价值用户,复购≥2次,17365.37,3.0,0.809128,会员专属权益(不主发券)
U000354,银牌会员,高,价值用户,复购≥2次,36470.75,5.0,0.808901,会员专属权益(不主发券)
U003951,铜牌会员,高,价值用户,复购≥2次,13072.28,3.0,0.808767,会员专属权益(不主发券)
U001396,银牌会员,高,价值用户,复购≥2次,15811.84,2.0,0.808731,会员专属权益(不主发券)
U003778,银牌会员,高,价值用户,复购≥2次,14190.63,2.0,0.808728,会员专属权益(不主发券)
U000686,银牌会员,高,价值用户,复购≥2次,18003.94,2.0,0.807977,会员专属权益(不主发券)
U003602,普通会员,高,价值用户,复购≥2次,14299.8,4.0,0.806378,会员专属权益(不主发券)
U000601,铜牌会员,高,价值用户,仅1单,26248.32,1.0,0.806327,会员专属权益(不主发券)
U004675,金牌会员,高,价值用户,复购≥2次,12703.18,3.0,0.805916,会员专属权益(不主发券)
U000349,普通会员,高,价值用户,复购≥2次,17522.36,3.0,0.805579,会员专属权益(不主发券)
U004495,普通会员,高,价值用户,复购≥2次,13172.03,3.0,0.80555,会员专属权益(不主发券)
U001184,普通会员,高,价值用户,复购≥2次,12948.27,2.0,0.804848,会员专属权益(不主发券)
U003345,钻石会员,高,价值用户,复购≥2次,11763.45,3.0,0.80464,会员专属权益(不主发券)
U000377,银牌会员,高,价值用户,复购≥2次,12208.64,2.0,0.803946,会员专属权益(不主发券)
U004580,银牌会员,高,价值用户,复购≥2次,21731.35,2.0,0.803852,会员专属权益(不主发券)
U000618,银牌会员,高,价值用户,复购≥2次,11251.41,3.0,0.80359,会员专属权益(不主发券)
U003976,金牌会员,高,价值用户,复购≥2次,19436.17,2.0,0.80359,会员专属权益(不主发券)
U000447,银牌会员,高,价值用户,复购≥2次,23645.6,4.0,0.802859,会员专属权益(不主发券)
U000259,铜牌会员,高,价值用户,复购≥2次,11682.13,4.0,0.802768,会员专属权益(不主发券)
U000725,钻石会员,高,价值用户,复购≥2次,22965.58,2.0,0.802691,会员专属权益(不主发券)
U002155,银牌会员,高,价值用户,复购≥2次,14148.07,2.0,0.802177,会员专属权益(不主发券)
U000849,铜牌会员,高,价值用户,复购≥2次,21059.63,2.0,0.801674,会员专属权益(不主发券)
U001098,普通会员,高,价值用户,复购≥2次,19469.39,3.0,0.801342,会员专属权益(不主发券)
U000816,银牌会员,高,价值用户,复购≥2次,21673.88,4.0,0.800928,会员专属权益(不主发券)
U000092,钻石会员,高,价值用户,复购≥2次,25291.65,3.0,0.800542,会员专属权益(不主发券)
U001027,铜牌会员,高,价值用户,复购≥2次,30143.47,2.0,0.800262,会员专属权益(不主发券)
U002682,铜牌会员,高,价值用户,复购≥2次,11424.77,5.0,0.800117,会员专属权益(不主发券)
U001625,银牌会员,高,价值用户,复购≥2次,10457.52,2.0,0.800099,会员专属权益(不主发券)
U004540,金牌会员,高,价值用户,复购≥2次,13060.75,4.0,0.800043,会员专属权益(不主发券)
U002633,普通会员,高,价值用户,复购≥2次,47959.25,4.0,0.799994,会员专属权益(不主发券)
U003088,钻石会员,高,价值用户,复购≥2次,38888.8,2.0,0.799976,会员专属权益(不主发券)
U000105,金牌会员,高,价值用户,复购≥2次,30976.05,2.0,0.799913,会员专属权益(不主发券)
U004567,银牌会员,高,价值用户,复购≥2次,20747.61,4.0,0.799619,会员专属权益(不主发券)
U000722,铜牌会员,高,价值用户,复购≥2次,10512.68,2.0,0.799304,会员专属权益(不主发券)
U004832,银牌会员,高,价值用户,复购≥2次,10423.78,3.0,0.798495,会员专属权益(不主发券)
U000791,钻石会员,高,价值用户,复购≥2次,16959.08,2.0,0.798419,会员专属权益(不主发券)
U004770,铜牌会员,高,价值用户,复购≥2次,20079.53,2.0,0.797852,会员专属权益(不主发券)
U002134,银牌会员,高,价值用户,复购≥2次,39045.6,3.0,0.797566,会员专属权益(不主发券)
