pool,product_id,product_name,category,price,conversion_rate,popularity_score,avg_review_score,avg_disc,sales_count
爆款高转化池,P000202,博世汽车用品商品998,汽车用品,6854.76,0.8333,0.51,4.67,0.12733694295970843,209
爆款高转化池,P000203,李宁运动户外商品125,运动户外,387.06,0.6667,0.27,4.5,0.18789733478754445,869
爆款高转化池,P000204,3M汽车用品商品304,汽车用品,2502.34,0.4286,0.49,4.23,0.04947070482207894,2636
爆款高转化池,P000206,美的家用电器商品467,家用电器,6605.2,0.7,0.73,4.6,0.13921330755559674,1679
爆款高转化池,P000207,施华洛世奇礼品鲜花商品857,礼品鲜花,566.27,0.5,0.33,5.0,0.1625913752161771,3675
爆款高转化池,P000208,九芝堂医药保健商品343,医药保健,515.81,0.6,0.41,4.5,0.030444248331827045,4712
爆款高转化池,P000210,安踏运动户外商品113,运动户外,746.23,0.5,0.44,5.0,0.19193442713407202,3327
爆款高转化池,P000211,诺誓礼品鲜花商品949,礼品鲜花,233.29,0.5,0.46,5.0,0.12969232293569435,6025
爆款高转化池,P000212,六福珠宝珠宝首饰商品894,珠宝首饰,1463.58,0.5,0.38,4.5,0.11627614149124843,3170
爆款高转化池,P000218,中信出版社图书音像商品663,图书音像,364.5,0.5714,0.48,4.33,0.19638023948476463,5207
爆款高转化池,P000219,探路者运动户外商品288,运动户外,525.4,0.5,0.43,4.0,0.14797066932172634,8276
爆款高转化池,P000221,曲美家居家装商品318,家居家装,666.7,0.875,0.62,4.8,0.14696706831598896,5424
爆款高转化池,P000224,海澜之家服装鞋包商品556,服装鞋包,518.68,0.4,0.42,4.5,0.13966242349240085,3994
爆款高转化池,P000226,花王母婴用品商品653,母婴用品,726.74,0.4615,0.78,4.67,0.12163305607645224,404
爆款高转化池,P000229,顾家家居家居家装商品198,家居家装,175.72,0.5714,0.51,5.0,0.20048708752678482,8814
爆款高转化池,P000231,pidan宠物用品商品955,宠物用品,112.89,0.625,0.56,4.67,0.2008247819773626,8810
爆款高转化池,P000233,善存医药保健商品124,医药保健,464.63,0.5,0.42,4.0,0.1304240814535688,5434
爆款高转化池,P000234,华为手机数码商品175,手机数码,907.01,0.625,0.59,4.25,0.15257859391409928,4127
爆款高转化池,P000236,帮宝适母婴用品商品561,母婴用品,633.92,0.4,0.37,4.5,0.16187171627350933,7094
爆款高转化池,P000238,华为手机数码商品874,手机数码,6094.63,0.5455,0.69,4.5,0.12810620830565778,745
爆款高转化池,P000240,伊利食品生鲜商品721,食品生鲜,95.64,0.6,0.56,4.67,0.15688708007994728,7170
爆款高转化池,P000242,欧莱雅美妆护肤商品239,美妆护肤,1506.17,0.4615,0.82,4.67,0.16458014520247016,8941
爆款高转化池,P000245,诺誓礼品鲜花商品650,礼品鲜花,552.05,0.75,0.46,4.23,0.1141398143536331,1394
爆款高转化池,P000247,小米家用电器商品761,家用电器,6885.94,0.625,0.53,4.67,0.1300615604909888,2333
爆款高转化池,P000248,SK-II美妆护肤商品326,美妆护肤,1252.93,0.6,0.39,5.0,0.10416408373982933,4140
爆款高转化池,P000250,皇家宠物用品商品971,宠物用品,753.53,0.4286,0.52,4.33,0.14844074240164368,8992
爆款高转化池,P000251,人民邮电出版社图书音像商品662,图书音像,82.41,0.6667,0.42,4.75,0.17617444873096558,1103
爆款高转化池,P000252,百草味食品生鲜商品302,食品生鲜,728.33,0.6364,0.63,4.6,0.1741528521273276,7982
爆款高转化池,P000254,阿迪达斯服装鞋包商品734,服装鞋包,186.13,0.4444,0.62,5.0,0.1627884935677712,3170
爆款高转化池,P000256,善存医药保健商品679,医药保健,571.19,0.4167,0.83,4.4,0.14578738141329992,5182
爆款高转化池,P000258,九芝堂医药保健商品383,医药保健,841.71,0.5,0.58,4.5,0.16178155611905584,2200
爆款高转化池,P000260,索菲亚家居家装商品598,家居家装,556.16,0.4,0.69,4.0,0.14142640617641455,2879
爆款高转化池,P000262,瑞士军威箱包配饰商品369,箱包配饰,736.21,1.0,0.37,4.0,0.06823686247115955,1252
爆款高转化池,P000268,七匹狼服装鞋包商品472,服装鞋包,1029.23,0.4286,0.55,5.0,0.07497672971633551,3913
爆款高转化池,P000275,卡仕达汽车用品商品205,汽车用品,5778.02,0.6667,0.74,4.8,0.14708249949968752,8542
爆款高转化池,P000276,博世汽车用品商品954,汽车用品,6064.32,1.0,0.19,5.0,0.17363340573766795,9480
爆款高转化池,P000278,施华洛世奇礼品鲜花商品955,礼品鲜花,87.06,0.4286,0.62,4.5,0.20895873198565404,4121
爆款高转化池,P000279,美赞臣母婴用品商品628,母婴用品,411.78,0.4,0.71,4.0,0.1644032015031571,5653
爆款高转化池,P000280,新华书店图书音像商品718,图书音像,16.53,0.4,0.4,4.5,0.18565547085619616,2276
爆款高转化池,P000285,格力家用电器商品762,家用电器,6750.24,0.7,0.7,4.67,0.1499023942377197,367
爆款高转化池,P000287,雅诗兰黛美妆护肤商品686,美妆护肤,336.39,0.5,0.53,5.0,0.1579571239748178,2725
爆款高转化池,P000288,良品铺子食品生鲜商品629,食品生鲜,958.66,0.5,0.64,4.33,0.17020936432035222,9819
爆款高转化池,P000289,施华洛世奇礼品鲜花商品119,礼品鲜花,879.72,0.4444,0.67,4.5,0.1318904208815657,4644
爆款高转化池,P000291,小佩宠物用品商品274,宠物用品,227.17,0.4,0.63,4.67,0.1721741978881814,6730
爆款高转化池,P000292,野兽派礼品鲜花商品913,礼品鲜花,586.82,0.7143,0.45,5.0,0.18174673310906558,2979
爆款高转化池,P000293,施华洛世奇礼品鲜花商品623,礼品鲜花,271.88,0.5,0.62,4.25,0.14766667685581614,5614
爆款高转化池,P000294,MK箱包配饰商品710,箱包配饰,594.69,0.75,0.49,5.0,0.13164553653156863,3765
爆款高转化池,P000295,帮宝适母婴用品商品235,母婴用品,117.48,0.75,0.48,4.4,0.17992328896326726,3315
爆款高转化池,P000296,始祖鸟运动户外商品946,运动户外,158.07,0.6667,0.6,4.8,0.10874852627219894,1577
爆款高转化池,P000298,李宁运动户外商品195,运动户外,487.42,0.4,0.39,4.23,0.1693992974024649,2135
爆款高转化池,P000299,新秀丽箱包配饰商品893,箱包配饰,681.77,0.4286,0.49,5.0,0.12543344613257723,7069
爆款高转化池,P000301,美赞臣母婴用品商品921,母婴用品,487.3,0.4286,0.62,5.0,0.12952920850772887,6246
爆款高转化池,P000302,顾家家居家居家装商品535,家居家装,142.54,0.5,0.53,5.0,0.0717717425299357,7817
爆款高转化池,P000303,六福珠宝珠宝首饰商品979,珠宝首饰,213.44,0.5,0.59,4.5,0.14419791438183183,9802
爆款高转化池,P000304,COACH箱包配饰商品363,箱包配饰,197.13,0.5714,0.59,4.0,0.12043186149501166,116
爆款高转化池,P000305,潘多拉礼品鲜花商品220,礼品鲜花,524.56,0.5,0.28,5.0,0.14691256624004656,6144
爆款高转化池,P000307,顾家家居家居家装商品258,家居家装,431.81,0.75,0.37,4.0,0.09036487591666473,9590
爆款高转化池,P000308,伊利食品生鲜商品975,食品生鲜,540.74,0.6667,0.28,4.5,0.14279591584694837,9251
爆款高转化池,P000309,索菲亚家居家装商品796,家居家装,403.48,0.5,0.2,4.0,0.2153520465768241,3337
爆款高转化池,P000310,强生母婴用品商品283,母婴用品,376.51,0.8333,0.51,4.33,0.1378463773498254,9091
爆款高转化池,P000312,善存医药保健商品975,医药保健,865.19,0.5,0.86,4.0,0.15072446748629517,1951
爆款高转化池,P000314,耐克服装鞋包商品620,服装鞋包,831.09,0.6364,0.77,4.43,0.14339365703791637,5544
爆款高转化池,P000315,周大福珠宝首饰商品264,珠宝首饰,808.75,0.7143,0.6,4.75,0.13254404166108066,86
爆款高转化池,P000316,周生生珠宝首饰商品943,珠宝首饰,333.39,0.5556,0.62,4.5,0.14797508741608287,9834
爆款高转化池,P000317,飞鹤母婴用品商品165,母婴用品,270.46,0.4286,0.44,5.0,0.11531930746961892,6075
爆款高转化池,P000322,探路者运动户外商品729,运动户外,177.79,0.5,0.47,4.33,0.12887415424034288,590
爆款高转化池,P000326,外交官箱包配饰商品662,箱包配饰,291.65,0.6,0.4,4.33,0.13847347803904764,9160
爆款高转化池,P000328,西门子家用电器商品565,家用电器,7472.85,0.5,0.44,4.0,0.16896423105672245,9419
爆款高转化池,P000330,李宁运动户外商品615,运动户外,301.31,0.5556,0.56,4.0,0.16924469017869515,1917
爆款高转化池,P000332,五粮液食品生鲜商品486,食品生鲜,567.54,0.6,0.4,4.0,0.19038433750996359,3985
爆款高转化池,P000336,好奇母婴用品商品628,母婴用品,540.3,0.625,0.56,4.8,0.1418697589059934,4314
爆款高转化池,P000338,H&M服装鞋包商品587,服装鞋包,662.05,0.6,0.44,4.67,0.2043802801568903,3580
爆款高转化池,P000343,外交官箱包配饰商品792,箱包配饰,956.22,0.6667,0.27,4.0,0.10369471388815817,8071
爆款高转化池,P000345,小佩宠物用品商品480,宠物用品,624.46,0.75,0.38,4.0,0.1498642105271166,8066
爆款高转化池,P000346,LV箱包配饰商品602,箱包配饰,191.04,0.625,0.64,4.5,0.19659645703043566,8374
爆款高转化池,P000349,哥伦比亚运动户外商品503,运动户外,861.8,0.5,0.25,4.0,0.13462370405345536,2863
爆款高转化池,P000352,Roseonly礼品鲜花商品433,礼品鲜花,367.99,0.625,0.56,4.0,0.14915381052427468,4254
爆款高转化池,P000353,自然堂美妆护肤商品342,美妆护肤,575.35,0.6667,0.53,4.33,0.1958501819011826,5621
爆款高转化池,P000354,全友家居家居家装商品610,家居家装,429.7,0.75,0.44,5.0,0.1865666605857079,6866
爆款高转化池,P000355,云南白药医药保健商品473,医药保健,855.78,0.7,0.67,4.6,0.07837999726253321,4581
爆款高转化池,P000356,京东图书图书音像商品685,图书音像,139.83,0.7143,0.51,4.5,0.14531706287532842,9435
爆款高转化池,P000357,固特异汽车用品商品933,汽车用品,1249.02,0.6,0.73,4.5,0.1283624040332023,4422
爆款高转化池,P000361,GUCCI箱包配饰商品904,箱包配饰,491.75,0.5,0.65,5.0,0.18917104758789824,4111
爆款高转化池,P000363,OPPO手机数码商品933,手机数码,2407.17,0.6667,0.67,4.75,0.14583578869123973,1577
爆款高转化池,P000364,人民邮电出版社图书音像商品442,图书音像,267.17,0.5,0.54,4.75,0.1562249052807853,5903
爆款高转化池,P000365,骆驼运动户外商品452,运动户外,29.64,0.5556,0.57,4.33,0.11224256386217693,1986
爆款高转化池,P000368,人民邮电出版社图书音像商品557,图书音像,890.74,0.6667,0.34,5.0,0.1677326613420382,6243
爆款高转化池,P000370,比瑞吉宠物用品商品755,宠物用品,809.64,0.5,0.55,4.67,0.11558878800600407,5527
爆款高转化池,P000372,完美日记美妆护肤商品333,美妆护肤,661.29,0.7143,0.43,4.67,0.17144156988868745,4773
爆款高转化池,P000374,MK箱包配饰商品899,箱包配饰,864.18,0.5,0.59,4.75,0.12908574730118097,5950
爆款高转化池,P000375,东阿阿胶医药保健商品523,医药保健,175.64,0.5,0.98,4.6,0.1782396538369638,378
爆款高转化池,P000377,格力家用电器商品506,家用电器,1272.57,0.5,0.43,5.0,0.13013234463126588,1045
爆款高转化池,P000378,MK箱包配饰商品661,箱包配饰,63.29,0.6667,0.32,5.0,0.17659177526006933,6504
爆款高转化池,P000381,人民邮电出版社图书音像商品229,图书音像,139.96,0.5455,0.71,4.75,0.1606166106387963,2795
爆款高转化池,P000385,薇诺娜美妆护肤商品746,美妆护肤,1510.38,0.5,0.5,4.5,0.1499543146271724,9240
爆款高转化池,P000389,比瑞吉宠物用品商品452,宠物用品,293.89,0.4,0.3,4.5,0.14731914800664841,8767
爆款高转化池,P000390,荣耀手机数码商品873,手机数码,4078.0,0.6,0.46,4.5,0.16292844132874643,149
爆款高转化池,P000391,潮宏基珠宝首饰商品917,珠宝首饰,621.2,0.5,0.46,4.67,0.10914181012616349,3788
爆款高转化池,P000396,伊利食品生鲜商品522,食品生鲜,196.12,0.5,0.6,4.0,0.14281926902342038,1121
爆款高转化池,P000399,戴森家用电器商品119,家用电器,1641.12,0.8,0.5,4.25,0.19569495858692787,8764
爆款高转化池,P000400,小米手机数码商品204,手机数码,2615.86,0.8,0.38,4.25,0.12914192983158654,2048
爆款高转化池,P000402,雅诗兰黛美妆护肤商品605,美妆护肤,473.52,0.5,0.59,4.67,0.1542996948405048,6885
爆款高转化池,P000406,京东图书图书音像商品296,图书音像,896.74,0.4,0.51,4.0,0.17991007981116114,4097
爆款高转化池,P000408,强生母婴用品商品353,母婴用品,740.24,0.5,0.79,4.5,0.16776504810772283,549
爆款高转化池,P000409,苏泊尔家用电器商品852,家用电器,6282.47,0.5,0.49,5.0,0.20351060228043502,8538
爆款高转化池,P000410,固特异汽车用品商品584,汽车用品,3418.42,0.75,0.65,4.5,0.1322830876835258,5113
爆款高转化池,P000411,GUCCI箱包配饰商品262,箱包配饰,632.87,0.75,0.44,4.5,0.16501921262161973,691
爆款高转化池,P000413,戴森家用电器商品153,家用电器,6977.43,0.5,0.89,4.6,0.13139033704439612,3568
爆款高转化池,P000414,耐克服装鞋包商品748,服装鞋包,896.62,0.625,0.68,4.8,0.18242688560202425,246
爆款高转化池,P000415,自然堂美妆护肤商品698,美妆护肤,283.32,0.5,0.63,4.0,0.15482970424913595,3982
爆款高转化池,P000418,薇诺娜美妆护肤商品193,美妆护肤,1387.59,0.4,0.44,4.0,0.12005399896258054,5544
爆款高转化池,P000419,新秀丽箱包配饰商品161,箱包配饰,361.96,0.5556,0.61,4.5,0.10855953843543495,2521
爆款高转化池,P000426,Samsonite箱包配饰商品170,箱包配饰,535.83,0.5,0.46,4.75,0.16684797413137042,7362
爆款高转化池,P000427,伊利食品生鲜商品654,食品生鲜,373.44,0.6,0.37,4.33,0.17153177229800734,11
爆款高转化池,P000430,钙尔奇医药保健商品774,医药保健,967.49,0.5,0.43,4.0,0.18634321486269087,6348
爆款高转化池,P000431,苏泊尔家用电器商品884,家用电器,4636.01,0.6667,0.7,4.2,0.0858374285874894,4638
爆款高转化池,P000432,马可波罗家居家装商品756,家居家装,328.8,0.5,0.61,4.67,0.14137089018098045,1577
爆款高转化池,P000435,优衣库服装鞋包商品684,服装鞋包,1301.42,0.4,0.59,4.33,0.1524520110353589,6366
爆款高转化池,P000437,三只松鼠食品生鲜商品475,食品生鲜,228.52,0.5,0.44,5.0,0.1626774475103334,1161
爆款高转化池,P000438,OPPO手机数码商品771,手机数码,4185.54,0.6,0.5,4.33,0.23861074237277355,1310
爆款高转化池,P000442,耐克服装鞋包商品631,服装鞋包,239.38,0.75,0.3,4.5,0.11568585773554473,3784
爆款高转化池,P000444,施华洛世奇礼品鲜花商品283,礼品鲜花,562.84,0.4545,0.81,4.5,0.17033224132564953,9144
爆款高转化池,P000446,海康威视汽车用品商品819,汽车用品,5489.32,0.4,0.44,4.0,0.18315669394071799,1705
爆款高转化池,P000448,米其林汽车用品商品646,汽车用品,7988.25,0.5556,0.59,4.67,0.1497752428055462,7258
爆款高转化池,P000450,网易严选宠物用品商品522,宠物用品,766.54,0.4,0.7,4.33,0.17724028608422768,7054
爆款高转化池,P000451,网易严选宠物用品商品723,宠物用品,248.32,0.4,0.4,4.0,0.16613416259899683,8939
爆款高转化池,P000452,小米家用电器商品884,家用电器,4626.79,0.5,0.4,4.67,0.13090019077693762,4162
爆款高转化池,P000454,汤臣倍健医药保健商品391,医药保健,599.81,0.75,0.33,4.67,0.16186537665111492,8480
爆款高转化池,P000455,自然堂美妆护肤商品106,美妆护肤,635.65,0.6667,0.6,4.0,0.18870235285869585,3635
