rank,user_id,repurchase_probability,tier
86,U002595,0.855315,高潜力
87,U000035,0.854737,高潜力
88,U004728,0.854539,高潜力
89,U002107,0.854143,高潜力
90,U004839,0.853653,高潜力
91,U002167,0.852809,高潜力
92,U000464,0.852444,高潜力
93,U001293,0.852238,高潜力
94,U004000,0.852237,高潜力
95,U003269,0.852189,高潜力
96,U003173,0.851511,高潜力
97,U004908,0.851509,高潜力
98,U002256,0.851399,高潜力
99,U000902,0.851149,高潜力
100,U001634,0.851094,高潜力
101,U004275,0.850662,高潜力
102,U002891,0.849934,高潜力
103,U001360,0.849913,高潜力
104,U004984,0.849662,高潜力
105,U004274,0.849559,高潜力
106,U002789,0.848369,高潜力
107,U003167,0.848221,高潜力
108,U001367,0.8481,高潜力
109,U000727,0.848042,高潜力
110,U001872,0.847925,高潜力
111,U003548,0.847407,高潜力
112,U002303,0.847376,高潜力
113,U004927,0.847224,高潜力
114,U003295,0.846736,高潜力
115,U003799,0.846547,高潜力
116,U004968,0.846362,高潜力
117,U000274,0.846229,高潜力
118,U004073,0.846221,高潜力
119,U003973,0.846186,高潜力
120,U003009,0.845973,高潜力
121,U004676,0.845945,高潜力
122,U000099,0.845591,高潜力
123,U002746,0.845437,高潜力
124,U004920,0.845428,高潜力
125,U003500,0.845117,高潜力
126,U004116,0.845019,高潜力
127,U002809,0.844943,高潜力
128,U001037,0.844846,高潜力
129,U002144,0.844469,高潜力
130,U004005,0.844447,高潜力
131,U001092,0.844323,高潜力
132,U001998,0.844152,高潜力
133,U002057,0.843828,高潜力
134,U002124,0.843539,高潜力
135,U000972,0.843443,高潜力
136,U004680,0.843295,高潜力
137,U004011,0.843218,高潜力
138,U003616,0.843179,高潜力
139,U002030,0.843029,高潜力
140,U004924,0.842925,高潜力
141,U003870,0.842528,高潜力
142,U004836,0.842266,高潜力
143,U002372,0.842094,高潜力
144,U000311,0.841697,高潜力
145,U003493,0.841614,高潜力
146,U004810,0.841172,高潜力
147,U000759,0.840169,高潜力
148,U001558,0.840047,高潜力
149,U001482,0.839777,高潜力
150,U000412,0.839762,高潜力
151,U001906,0.839653,高潜力
152,U001191,0.839576,高潜力
153,U001313,0.838985,高潜力
154,U004900,0.838857,高潜力
155,U003885,0.83854,高潜力
156,U002555,0.837884,高潜力
157,U003281,0.837627,高潜力
158,U002608,0.83755,高潜力
159,U002027,0.836636,高潜力
160,U002747,0.836078,高潜力
161,U002674,0.835896,高潜力
162,U003400,0.835418,高潜力
163,U004176,0.834809,高潜力
164,U002791,0.834611,高潜力
165,U003715,0.83453,高潜力
166,U001304,0.834269,高潜力
167,U001357,0.834121,高潜力
168,U002318,0.834069,高潜力
169,U000458,0.83403,高潜力
170,U004374,0.833718,高潜力
171,U001839,0.833453,高潜力
172,U002644,0.833263,高潜力
173,U002672,0.833187,高潜力
174,U002544,0.833052,高潜力
175,U004283,0.833033,高潜力
176,U003808,0.833013,高潜力
177,U003860,0.833,高潜力
178,U002748,0.832783,高潜力
179,U003794,0.832716,高潜力
180,U001508,0.832379,高潜力
181,U001412,0.832106,高潜力
182,U001829,0.831744,高潜力
183,U004263,0.831396,高潜力
184,U003238,0.830972,高潜力
185,U004167,0.830473,高潜力
186,U003897,0.83042,高潜力
187,U003669,0.829961,高潜力
188,U002180,0.829835,高潜力
189,U004042,0.829251,高潜力
190,U003843,0.829166,高潜力
191,U000214,0.829111,高潜力
192,U004105,0.829072,高潜力
193,U002402,0.82856,高潜力
194,U003748,0.828465,高潜力
195,U004706,0.828321,高潜力
196,U004554,0.828127,高潜力
197,U004164,0.827866,高潜力
198,U002501,0.827842,高潜力
199,U004425,0.827816,高潜力
200,U000237,0.827802,高潜力
201,U000817,0.827658,高潜力
202,U003240,0.827595,高潜力
203,U002881,0.827164,高潜力
204,U003451,0.82695,高潜力
205,U003764,0.82694,高潜力
206,U003153,0.826713,高潜力
207,U003800,0.826484,高潜力
208,U001349,0.826079,高潜力
209,U004153,0.82603,高潜力
210,U003931,0.825962,高潜力
211,U004513,0.825809,高潜力
212,U002563,0.825724,高潜力
213,U001621,0.825723,高潜力
214,U003526,0.825578,高潜力
215,U003140,0.825538,高潜力
216,U000113,0.825252,高潜力
217,U004268,0.82492,高潜力
218,U001539,0.824912,高潜力
219,U001535,0.824843,高潜力
220,U002637,0.824737,高潜力
221,U002539,0.824642,高潜力
222,U003561,0.824533,高潜力
223,U001156,0.824292,高潜力
224,U003001,0.824223,高潜力
225,U000981,0.82399,高潜力
226,U000440,0.823872,高潜力
227,U001680,0.823865,高潜力
228,U003205,0.823696,高潜力
229,U002393,0.823549,高潜力
230,U002542,0.823331,高潜力
231,U001141,0.823275,高潜力
232,U000632,0.823151,高潜力
233,U002496,0.822586,高潜力
234,U000053,0.822553,高潜力
235,U003157,0.822384,高潜力
236,U004107,0.822267,高潜力
237,U003643,0.822169,高潜力
238,U003682,0.821769,高潜力
239,U002824,0.821694,高潜力
240,U001089,0.821686,高潜力
241,U001885,0.821353,高潜力
242,U002858,0.821292,高潜力
243,U003359,0.820981,高潜力
244,U002911,0.82093,高潜力
245,U001736,0.820714,高潜力
246,U002561,0.820325,高潜力
247,U003889,0.820006,高潜力
248,U001161,0.819806,高潜力
249,U001059,0.81972,高潜力
250,U003936,0.81944,高潜力
251,U004883,0.81908,高潜力
252,U000340,0.818886,高潜力
253,U001806,0.818796,高潜力
254,U004019,0.818623,高潜力
255,U002597,0.818454,高潜力
256,U002190,0.818197,高潜力
257,U004422,0.817968,高潜力
258,U003862,0.817927,高潜力
259,U004212,0.817843,高潜力
260,U004515,0.817602,高潜力
261,U003518,0.817523,高潜力
262,U003000,0.817359,高潜力
263,U002293,0.817075,高潜力
264,U002198,0.81702,高潜力
265,U002607,0.816704,高潜力
266,U004338,0.816404,高潜力
267,U000352,0.816369,高潜力
268,U001873,0.816339,高潜力
269,U000905,0.816069,高潜力
270,U000040,0.815997,高潜力
271,U004285,0.815466,高潜力
272,U000228,0.815413,高潜力
273,U000248,0.815381,高潜力
274,U001698,0.815378,高潜力
275,U002498,0.815353,高潜力
276,U002132,0.815004,高潜力
277,U004431,0.814992,高潜力
278,U001768,0.814335,高潜力
279,U004583,0.814281,高潜力
280,U001246,0.814118,高潜力
281,U002264,0.813973,高潜力
282,U004862,0.813922,高潜力
283,U004806,0.81376,高潜力
284,U000880,0.813702,高潜力
285,U003369,0.813092,高潜力
286,U003505,0.812657,高潜力
287,U001385,0.812623,高潜力
288,U001390,0.812323,高潜力
289,U003034,0.812284,高潜力
290,U001227,0.811816,高潜力
291,U002538,0.811356,高潜力
292,U000031,0.811139,高潜力
293,U004459,0.811058,高潜力
294,U004276,0.81102,高潜力
295,U004294,0.810985,高潜力
296,U000183,0.810951,高潜力
297,U004310,0.810889,高潜力
298,U004110,0.810789,高潜力
299,U000080,0.81069,高潜力
300,U002849,0.810686,高潜力
301,U000077,0.810658,高潜力
302,U000946,0.810431,高潜力
303,U001788,0.810333,高潜力
304,U000153,0.810307,高潜力
305,U001747,0.810293,高潜力
306,U001336,0.810241,高潜力
307,U000187,0.809813,高潜力
308,U001379,0.809128,高潜力
309,U000354,0.808901,高潜力
310,U003951,0.808767,高潜力
311,U001396,0.808731,高潜力
312,U003778,0.808728,高潜力
313,U002940,0.808441,高潜力
314,U000686,0.807977,高潜力
315,U003879,0.807906,高潜力
316,U001393,0.807565,高潜力
317,U001717,0.807008,高潜力
318,U003602,0.806378,高潜力
319,U000601,0.806327,高潜力
320,U004675,0.805916,高潜力
321,U000349,0.805579,高潜力
322,U004495,0.80555,高潜力
323,U000174,0.805501,高潜力
324,U001778,0.805244,高潜力
325,U001184,0.804848,高潜力
326,U001722,0.804775,高潜力
327,U004313,0.804752,高潜力
328,U003345,0.80464,高潜力
329,U000100,0.804378,高潜力
330,U000377,0.803946,高潜力
331,U004580,0.803852,高潜力
332,U002493,0.803769,高潜力
333,U002120,0.803754,高潜力
334,U003976,0.80359,高潜力
335,U000618,0.80359,高潜力
336,U000447,0.802859,高潜力
337,U000229,0.802828,高潜力
338,U000259,0.802768,高潜力
339,U000725,0.802691,高潜力
340,U003646,0.802379,高潜力
341,U002155,0.802177,高潜力
342,U000849,0.801674,高潜力
343,U000303,0.80147,高潜力
344,U002392,0.801452,高潜力
345,U001098,0.801342,高潜力
346,U000291,0.801188,高潜力
347,U000816,0.800928,高潜力
348,U000092,0.800542,高潜力
349,U001027,0.800262,高潜力
350,U002411,0.800251,高潜力
351,U002204,0.800224,高潜力
352,U002682,0.800117,高潜力
353,U001625,0.800099,高潜力
354,U004540,0.800043,高潜力
355,U002633,0.799994,高潜力
356,U003088,0.799976,高潜力
357,U000105,0.799913,高潜力
358,U004567,0.799619,高潜力
359,U000722,0.799304,高潜力
360,U001503,0.798674,高潜力
361,U001392,0.798546,高潜力
362,U004832,0.798495,高潜力
363,U000791,0.798419,高潜力
364,U000115,0.798398,高潜力
365,U004770,0.797852,高潜力
366,U002134,0.797566,高潜力
367,U002439,0.79738,高潜力
368,U004767,0.797346,高潜力
369,U001657,0.797327,高潜力
370,U001983,0.797095,高潜力
371,U000491,0.797022,高潜力
372,U003368,0.796572,高潜力
373,U004749,0.79634,高潜力
374,U003750,0.79626,高潜力
375,U004724,0.796174,高潜力
376,U001400,0.796075,高潜力
377,U002728,0.795618,高潜力
378,U000599,0.795542,高潜力
379,U002456,0.795516,高潜力
380,U003164,0.79545,高潜力
381,U000423,0.795182,高潜力
382,U001566,0.795101,高潜力
383,U004026,0.795076,高潜力
384,U002420,0.794965,高潜力
385,U000199,0.794909,高潜力
386,U001045,0.794898,高潜力
387,U003871,0.794525,高潜力
388,U000247,0.794438,高潜力
389,U000424,0.79414,高潜力
390,U002071,0.793961,高潜力
391,U003612,0.793822,高潜力
392,U000268,0.793723,高潜力
393,U002308,0.79364,高潜力
394,U000838,0.793495,高潜力
395,U004681,0.793329,高潜力
396,U003737,0.793241,高潜力
397,U001452,0.792845,高潜力
398,U001687,0.792499,高潜力
399,U001180,0.792441,高潜力
400,U000193,0.792335,高潜力
401,U001131,0.792141,高潜力
402,U000596,0.791902,高潜力
403,U000543,0.791842,高潜力
404,U000230,0.7917,高潜力
405,U000937,0.791643,高潜力
406,U000738,0.791339,高潜力
407,U002240,0.791293,高潜力
408,U003053,0.791092,高潜力
409,U003271,0.790589,高潜力
410,U003678,0.790179,高潜力
411,U004349,0.790117,高潜力
412,U004426,0.789867,高潜力
413,U004434,0.789705,高潜力
414,U002249,0.789364,高潜力
415,U003892,0.789268,高潜力
416,U002432,0.788804,高潜力
417,U004934,0.788773,高潜力
418,U003589,0.788163,高潜力
419,U003047,0.787819,高潜力
420,U003418,0.787735,高潜力
421,U004738,0.787721,高潜力
422,U002902,0.787562,高潜力
423,U001915,0.787411,高潜力
424,U004144,0.787398,高潜力
425,U003728,0.78735,高潜力
426,U001933,0.787199,高潜力
427,U002369,0.787112,高潜力
428,U002282,0.78707,高潜力
429,U003476,0.787064,高潜力
430,U000395,0.786982,高潜力
431,U001624,0.786906,高潜力
432,U004662,0.786388,高潜力
433,U002490,0.786101,高潜力
434,U000674,0.786031,高潜力
435,U003023,0.786022,高潜力
436,U001612,0.785893,高潜力
437,U003174,0.785749,高潜力
438,U002487,0.785629,高潜力
439,U001984,0.785503,高潜力
440,U000603,0.785448,高潜力
441,U003446,0.785315,高潜力
442,U000131,0.785257,高潜力
443,U004618,0.785061,高潜力
444,U004158,0.784673,高潜力
445,U003434,0.784583,高潜力
446,U003012,0.784468,高潜力
447,U000456,0.784142,高潜力
448,U001805,0.783892,高潜力
449,U003018,0.783729,高潜力
450,U004043,0.783702,高潜力
451,U002777,0.783372,高潜力
452,U001716,0.783193,高潜力
453,U002729,0.782875,高潜力
454,U000757,0.782738,高潜力
455,U001987,0.782639,高潜力
456,U002339,0.782547,高潜力
457,U002799,0.782499,高潜力
458,U004707,0.782498,高潜力
459,U001677,0.782405,高潜力
460,U002836,0.781941,高潜力
461,U000615,0.781749,高潜力
462,U002086,0.781737,高潜力
463,U000020,0.781582,高潜力
464,U000591,0.781539,高潜力
465,U000142,0.781518,高潜力
466,U001626,0.781516,高潜力
467,U003151,0.781473,高潜力
468,U000769,0.781382,高潜力
469,U002840,0.781277,高潜力
470,U003792,0.781002,高潜力
471,U003243,0.781001,高潜力
472,U004654,0.78082,高潜力
473,U003411,0.780252,高潜力
474,U003881,0.780249,高潜力
475,U001375,0.780077,高潜力
476,U004727,0.779514,高潜力
477,U002502,0.779499,高潜力
478,U003783,0.779157,高潜力
479,U004944,0.779035,高潜力
480,U004961,0.778619,高潜力
481,U002431,0.778503,高潜力
482,U003568,0.778258,高潜力
483,U000745,0.778013,高潜力
484,U003111,0.777899,高潜力
485,U004481,0.777774,高潜力
486,U003456,0.777756,高潜力
487,U000367,0.777229,高潜力
488,U002121,0.777018,高潜力
489,U001779,0.776557,高潜力
490,U003076,0.776463,高潜力
491,U002361,0.7763,高潜力
492,U004210,0.77609,高潜力
493,U004056,0.776064,高潜力
494,U004558,0.776038,高潜力
495,U001807,0.775942,高潜力
496,U002051,0.775754,高潜力
497,U002850,0.775461,高潜力
498,U002368,0.775461,高潜力
499,U001763,0.775219,高潜力
500,U000026,0.775198,高潜力
501,U002736,0.775194,高潜力
502,U004080,0.775099,高潜力
503,U000706,0.774963,高潜力
504,U003574,0.774901,高潜力
505,U001223,0.774636,高潜力
506,U004666,0.774559,高潜力
507,U004483,0.77452,高潜力
508,U004332,0.774302,高潜力
509,U001780,0.774004,高潜力
510,U001575,0.773576,高潜力
511,U001706,0.773232,高潜力
512,U004096,0.773211,高潜力
513,U002364,0.773006,高潜力
514,U004031,0.772952,高潜力
515,U001331,0.772598,高潜力
516,U003436,0.772482,高潜力
517,U003380,0.772164,高潜力
518,U002759,0.772163,高潜力
519,U004795,0.771953,高潜力
520,U002471,0.771928,高潜力
521,U004497,0.771236,高潜力
522,U002474,0.771186,高潜力
523,U003861,0.771002,高潜力
524,U003233,0.770836,高潜力
525,U003959,0.770753,高潜力
526,U004145,0.770728,高潜力
527,U000260,0.770593,高潜力
528,U000622,0.770442,高潜力
529,U002007,0.77037,高潜力
530,U002346,0.769756,高潜力
531,U003142,0.769646,高潜力
532,U003768,0.768989,高潜力
533,U000025,0.768711,高潜力
534,U002913,0.768591,高潜力
535,U000220,0.768569,高潜力
536,U002337,0.768559,高潜力
537,U004784,0.768511,高潜力
538,U001314,0.768458,高潜力
539,U003796,0.768322,高潜力
540,U001389,0.76793,高潜力
541,U002866,0.767801,高潜力
542,U000122,0.767527,高潜力
543,U001294,0.766927,高潜力
544,U003867,0.766883,高潜力
545,U001155,0.766802,高潜力
546,U003670,0.766772,高潜力
547,U004300,0.766599,高潜力
548,U001403,0.765953,高潜力
549,U000555,0.765892,高潜力
550,U001157,0.765821,高潜力
551,U002351,0.765595,高潜力
552,U004833,0.765328,高潜力
553,U003610,0.764901,高潜力
554,U004635,0.764863,高潜力
555,U002622,0.764845,高潜力
556,U004918,0.764677,高潜力
557,U001762,0.764256,高潜力
558,U004631,0.764187,高潜力
559,U000672,0.764179,高潜力
560,U003658,0.764128,高潜力
561,U004684,0.763849,高潜力
562,U004531,0.763713,高潜力
563,U002403,0.763332,高潜力
564,U004460,0.763293,高潜力
565,U003839,0.762873,高潜力
566,U003974,0.762865,高潜力
567,U004584,0.762581,高潜力
568,U001264,0.762549,高潜力
569,U000110,0.762535,高潜力
570,U004606,0.762514,高潜力
571,U004777,0.762398,高潜力
572,U001953,0.762119,高潜力
573,U003358,0.761807,高潜力
574,U003420,0.761705,高潜力
575,U003506,0.761408,高潜力
576,U003793,0.761189,高潜力
577,U001495,0.760956,高潜力
578,U003037,0.760825,高潜力
579,U003556,0.76081,高潜力
580,U001128,0.760713,高潜力
581,U000577,0.760618,高潜力
582,U004657,0.76053,高潜力
583,U004864,0.760506,高潜力
584,U002828,0.760348,高潜力
585,U002617,0.760298,高潜力
586,U002076,0.760118,高潜力
587,U001248,0.759783,高潜力
588,U003784,0.759726,高潜力
589,U000585,0.759442,高潜力
590,U000999,0.759108,高潜力
591,U002908,0.759016,高潜力
592,U004187,0.758899,高潜力
593,U002587,0.758494,高潜力
594,U001769,0.75835,高潜力
595,U001143,0.758285,高潜力
596,U003599,0.758269,高潜力
597,U003463,0.758246,高潜力
598,U002868,0.758194,高潜力
599,U001917,0.75815,高潜力
600,U001894,0.757792,高潜力
601,U001758,0.75773,高潜力
602,U001011,0.757639,高潜力
603,U004846,0.757555,高潜力
604,U002164,0.75748,高潜力
605,U000649,0.757324,高潜力
606,U004911,0.757141,高潜力
607,U003662,0.75699,高潜力
608,U004844,0.75696,高潜力
609,U001725,0.756717,高潜力
610,U001324,0.756402,高潜力
611,U004395,0.756177,高潜力
612,U000893,0.756054,高潜力
613,U003580,0.755967,高潜力
614,U002601,0.75566,高潜力
615,U002005,0.755604,高潜力
616,U001874,0.755538,高潜力
617,U000723,0.755468,高潜力
618,U000439,0.755273,高潜力
619,U003517,0.755138,高潜力
620,U002874,0.755034,高潜力
621,U004774,0.755001,高潜力
622,U000194,0.754685,高潜力
623,U000853,0.754638,高潜力
624,U004974,0.754205,高潜力
625,U004072,0.753791,高潜力
626,U001282,0.753719,高潜力
627,U004938,0.753695,高潜力
628,U003587,0.753662,高潜力
629,U000462,0.75355,高潜力
630,U003008,0.753511,高潜力
631,U001233,0.753477,高潜力
632,U001491,0.753098,高潜力
633,U002035,0.752797,高潜力
634,U004270,0.752588,高潜力
635,U000232,0.75254,高潜力
636,U004033,0.752191,高潜力
637,U000495,0.752183,高潜力
638,U004525,0.751936,高潜力
639,U002627,0.751867,高潜力
640,U000460,0.751672,高潜力
641,U004995,0.75162,高潜力
642,U000566,0.751472,高潜力
643,U004280,0.75143,高潜力
644,U000235,0.751015,高潜力
645,U001792,0.750919,高潜力
646,U004805,0.750801,高潜力
647,U004038,0.750747,高潜力
648,U003615,0.750514,高潜力
649,U000074,0.750391,高潜力
650,U003128,0.750287,高潜力
651,U001080,0.749972,高潜力
652,U000650,0.749959,高潜力
653,U004249,0.749542,高潜力
654,U004610,0.749392,高潜力
655,U000101,0.749256,高潜力
656,U002702,0.749245,高潜力
657,U001713,0.74924,高潜力
658,U000111,0.749178,高潜力
659,U003179,0.749137,高潜力
660,U003801,0.749103,高潜力
661,U000702,0.749034,高潜力
662,U000830,0.748903,高潜力
663,U002909,0.748635,高潜力
664,U002972,0.748478,高潜力
665,U002675,0.748312,高潜力
666,U000012,0.748181,高潜力
667,U002827,0.748018,高潜力
668,U000278,0.747839,高潜力
669,U001578,0.747628,高潜力
670,U002565,0.747465,高潜力
671,U003195,0.747342,高潜力
672,U001616,0.747204,高潜力
673,U002924,0.747144,高潜力
674,U004293,0.746866,高潜力
675,U000133,0.746682,高潜力
676,U001734,0.746626,高潜力
677,U001560,0.746483,高潜力
678,U000625,0.746319,高潜力
679,U004881,0.746147,高潜力
680,U000762,0.746131,高潜力
681,U000433,0.745846,高潜力
682,U001471,0.745433,高潜力
683,U001975,0.74527,高潜力
684,U001897,0.744892,高潜力
685,U003020,0.74489,高潜力
686,U003393,0.744661,高潜力
687,U003310,0.744585,高潜力
688,U000961,0.74444,高潜力
689,U003978,0.743823,高潜力
690,U001235,0.743811,高潜力
691,U003145,0.743655,高潜力
692,U001090,0.743537,高潜力
693,U002123,0.74343,高潜力
694,U004197,0.74295,高潜力
695,U003025,0.742801,高潜力
696,U004546,0.742548,高潜力
697,U001072,0.742476,高潜力
698,U002531,0.742364,高潜力
699,U001442,0.742268,高潜力
700,U002460,0.742183,高潜力
701,U000551,0.742091,高潜力
702,U002218,0.742039,高潜力
703,U001483,0.742037,高潜力
704,U003780,0.741993,高潜力
705,U003487,0.741637,高潜力
706,U002152,0.741559,高潜力
707,U002805,0.741502,高潜力
708,U000931,0.741262,高潜力
709,U000401,0.741214,高潜力
710,U002648,0.740914,高潜力
711,U004373,0.740888,高潜力
712,U002790,0.740858,高潜力
713,U003351,0.740752,高潜力
714,U004003,0.740739,高潜力
715,U003774,0.740557,高潜力
716,U002328,0.740387,高潜力
717,U000136,0.739969,高潜力
718,U000863,0.739793,高潜力
719,U000713,0.739569,高潜力
720,U002310,0.739465,高潜力
721,U001782,0.739357,高潜力
722,U002203,0.739212,高潜力
723,U000910,0.738904,高潜力
724,U002491,0.738655,高潜力
725,U002927,0.738631,高潜力
726,U002638,0.738592,高潜力
727,U000098,0.738363,高潜力
728,U000627,0.738347,高潜力
729,U000922,0.738266,高潜力
730,U001125,0.737804,高潜力
731,U001859,0.737476,高潜力
732,U001441,0.737266,高潜力
733,U000328,0.737238,高潜力
734,U000175,0.737172,高潜力
735,U000611,0.73715,高潜力
736,U001061,0.736781,高潜力
737,U003512,0.736634,高潜力
738,U000264,0.7366,高潜力
739,U002846,0.736527,高潜力
740,U002719,0.735817,高潜力
741,U002892,0.735696,高潜力
742,U004469,0.735672,高潜力
743,U000573,0.735514,高潜力
744,U001827,0.735402,高潜力
745,U002089,0.735394,高潜力
746,U004112,0.735383,高潜力
747,U003095,0.735032,高潜力
748,U002979,0.734732,高潜力
749,U002195,0.734519,高潜力
750,U001453,0.734335,高潜力
751,U004021,0.734335,高潜力
752,U001443,0.733793,高潜力
753,U001738,0.733644,高潜力
754,U001035,0.733471,高潜力
755,U002845,0.733366,高潜力
756,U002130,0.733313,高潜力
757,U002126,0.733125,高潜力
758,U002770,0.733061,高潜力
759,U002312,0.73304,高潜力
760,U002513,0.733019,高潜力
761,U004831,0.732463,高潜力
762,U004713,0.73206,高潜力
763,U002426,0.732059,高潜力
764,U001438,0.731874,高潜力
765,U004226,0.731732,高潜力
766,U002865,0.731702,高潜力
767,U000280,0.731661,高潜力
768,U002157,0.731607,高潜力
769,U002079,0.730778,高潜力
770,U004410,0.730201,高潜力
771,U003984,0.729891,高潜力
772,U004117,0.729822,高潜力
773,U002325,0.729762,高潜力
774,U002435,0.729479,高潜力
775,U001755,0.729411,高潜力
776,U001094,0.729356,高潜力
777,U001130,0.729201,高潜力
778,U001271,0.72904,高潜力
779,U003777,0.728975,高潜力
780,U002135,0.728893,高潜力
781,U000567,0.728766,高潜力
782,U003029,0.728724,高潜力
783,U001414,0.728145,高潜力
784,U001936,0.727842,高潜力
785,U003721,0.727324,高潜力
786,U001771,0.727289,高潜力
787,U004069,0.727119,高潜力
788,U002810,0.727042,高潜力
789,U000784,0.726906,高潜力
790,U003718,0.726792,高潜力
791,U000301,0.726779,高潜力
792,U003149,0.726652,高潜力
793,U000366,0.72534,高潜力
794,U001932,0.725323,高潜力
795,U002069,0.725021,高潜力
796,U004240,0.724408,高潜力
797,U001674,0.724246,高潜力
798,U001555,0.724238,高潜力
799,U002481,0.724054,高潜力
800,U003390,0.72336,高潜力
801,U003802,0.723349,高潜力
802,U003943,0.723021,高潜力
803,U002545,0.723,高潜力
804,U002253,0.722926,高潜力
805,U003388,0.721734,高潜力
806,U001882,0.721569,高潜力
807,U000637,0.72136,高潜力
808,U003818,0.721324,高潜力
809,U001652,0.721066,高潜力
810,U000493,0.721025,高潜力
811,U003918,0.720886,高潜力
812,U004168,0.720288,高潜力
813,U002885,0.720232,高潜力
814,U002413,0.720102,高潜力
815,U004829,0.720094,高潜力
816,U002658,0.720014,高潜力
817,U004516,0.719726,高潜力
818,U003003,0.719607,高潜力
819,U004581,0.719545,高潜力
820,U001101,0.719361,高潜力
821,U003773,0.719204,高潜力
822,U003062,0.71902,高潜力
823,U000693,0.719001,高潜力
824,U000682,0.718888,高潜力
825,U002922,0.718877,高潜力
826,U000241,0.718605,高潜力
827,U004667,0.71858,高潜力
828,U000595,0.718497,高潜力
829,U003957,0.718199,高潜力
830,U003093,0.718148,高潜力
831,U002274,0.718059,高潜力
832,U001864,0.718049,高潜力
833,U000011,0.718048,高潜力
834,U003620,0.718034,高潜力
835,U003299,0.717998,高潜力
836,U004998,0.717845,高潜力
837,U001886,0.717458,高潜力
838,U001611,0.717356,高潜力
839,U004219,0.717337,高潜力
840,U004078,0.716759,高潜力
841,U004815,0.71671,高潜力
842,U003629,0.716662,高潜力
843,U002945,0.71643,高潜力
844,U002694,0.716332,高潜力
845,U003913,0.716121,高潜力
846,U002853,0.715831,高潜力
847,U002313,0.715606,高潜力
848,U002867,0.715466,高潜力
849,U000941,0.715407,高潜力
850,U003183,0.714248,高潜力
851,U003697,0.71407,高潜力
852,U001676,0.714018,高潜力
853,U004017,0.713952,高潜力
854,U003026,0.71337,高潜力
855,U004750,0.713191,高潜力
856,U003410,0.712858,高潜力
857,U003999,0.712811,高潜力
858,U003332,0.712723,高潜力
859,U000731,0.712562,高潜力
860,U001472,0.712442,高潜力
861,U001704,0.711922,高潜力
862,U003687,0.711386,高潜力
863,U001302,0.710918,高潜力
864,U000212,0.710784,高潜力
865,U003960,0.710644,高潜力
866,U000137,0.710613,高潜力
867,U001106,0.710447,高潜力
868,U004964,0.710328,高潜力
869,U002792,0.71019,高潜力
870,U000971,0.709868,高潜力
871,U004113,0.709832,高潜力
872,U002882,0.709687,高潜力
