rank,user_id,purchase_intent,predicted_intent,intent_tier,top_category,rec_pool,rec_product_ids,rec_product_names
42,U004313,0.3974,0.337582,高意向,家用电器,爆款高转化池,P000904|P000206|P000946|P001013|P000285,格力家用电器商品379|美的家用电器商品467|松下家用电器商品394|海尔家用电器商品408|格力家用电器商品762
43,U003617,0.3973,0.233841,高意向,宠物用品,爆款高转化池,P000750|P000035|P001710|P000996|P000462,冠能宠物用品商品494|皇家宠物用品商品286|网易严选宠物用品商品732|麦富迪宠物用品商品635|冠能宠物用品商品709
44,U004833,0.3972,0.343184,高意向,食品生鲜,爆款高转化池,P000080|P001955|P000818|P001304|P001988,伊利食品生鲜商品963|百草味食品生鲜商品833|金龙鱼食品生鲜商品198|五粮液食品生鲜商品181|良品铺子食品生鲜商品482
45,U000535,0.3971,0.266706,高意向,服装鞋包,爆款高转化池,P001734|P001740|P001694|P000314|P000970,ZARA服装鞋包商品462|耐克服装鞋包商品217|优衣库服装鞋包商品426|耐克服装鞋包商品620|海澜之家服装鞋包商品195
46,U002562,0.3971,0.257138,高意向,运动户外,爆款高转化池,P001787|P001427|P000783|P000134|P000168,361度运动户外商品484|骆驼运动户外商品702|哥伦比亚运动户外商品762|哥伦比亚运动户外商品544|李宁运动户外商品543
47,U000656,0.397,0.259692,高意向,宠物用品,爆款高转化池,P000750|P000035|P001710|P000996|P000462,冠能宠物用品商品494|皇家宠物用品商品286|网易严选宠物用品商品732|麦富迪宠物用品商品635|冠能宠物用品商品709
48,U001528,0.3969,0.3356,高意向,医药保健,爆款高转化池,P000094|P001052|P001079|P000375|P000355,钙尔奇医药保健商品391|钙尔奇医药保健商品186|九芝堂医药保健商品943|东阿阿胶医药保健商品523|云南白药医药保健商品473
49,U003914,0.3969,0.332698,高意向,服装鞋包,爆款高转化池,P001734|P001740|P001694|P000314|P000970,ZARA服装鞋包商品462|耐克服装鞋包商品217|优衣库服装鞋包商品426|耐克服装鞋包商品620|海澜之家服装鞋包商品195
50,U000986,0.3967,0.350919,高意向,宠物用品,爆款高转化池,P000750|P000035|P001710|P000996|P000462,冠能宠物用品商品494|皇家宠物用品商品286|网易严选宠物用品商品732|麦富迪宠物用品商品635|冠能宠物用品商品709
51,U002891,0.3967,0.231763,高意向,家居家装,爆款高转化池,P000883|P000221|P001102|P001151|P001129,顾家家居家居家装商品927|曲美家居家装商品318|马可波罗家居家装商品703|宜家家居家装商品838|曲美家居家装商品570
52,U000650,0.3966,0.324769,高意向,运动户外,爆款高转化池,P001787|P001427|P000783|P000134|P000168,361度运动户外商品484|骆驼运动户外商品702|哥伦比亚运动户外商品762|哥伦比亚运动户外商品544|李宁运动户外商品543
53,U001250,0.3965,0.345131,高意向,礼品鲜花,爆款高转化池,P001016|P000831|P001489|P000018|P001157,野兽派礼品鲜花商品306|Roseonly礼品鲜花商品580|诺誓礼品鲜花商品189|诺誓礼品鲜花商品463|施华洛世奇礼品鲜花商品442
54,U000515,0.3964,0.338899,高意向,手机数码,爆款高转化池,P000808|P001509|P000688|P000498|P001082,华为手机数码商品883|三星手机数码商品747|华为手机数码商品474|三星手机数码商品800|小米手机数码商品672
55,U002440,0.3964,0.35632,高意向,箱包配饰,爆款高转化池,P000784|P000262|P001766|P000070|P001698,LV箱包配饰商品872|瑞士军威箱包配饰商品369|MK箱包配饰商品997|新秀丽箱包配饰商品905|外交官箱包配饰商品687
56,U003659,0.3963,0.342866,高意向,母婴用品,爆款高转化池,P000923|P001341|P001282|P000310|P000627,贝因美母婴用品商品502|花王母婴用品商品597|花王母婴用品商品885|强生母婴用品商品283|帮宝适母婴用品商品545
57,U001368,0.3962,0.347125,高意向,箱包配饰,爆款高转化池,P000784|P000262|P001766|P000070|P001698,LV箱包配饰商品872|瑞士军威箱包配饰商品369|MK箱包配饰商品997|新秀丽箱包配饰商品905|外交官箱包配饰商品687
58,U004386,0.3962,0.254943,高意向,美妆护肤,爆款高转化池,P000532|P000773|P000947|P000971|P001402,珀莱雅美妆护肤商品523|自然堂美妆护肤商品332|珀莱雅美妆护肤商品976|SK-II美妆护肤商品867|珀莱雅美妆护肤商品932
59,U000913,0.3961,0.222851,高意向,箱包配饰,爆款高转化池,P000784|P000262|P001766|P000070|P001698,LV箱包配饰商品872|瑞士军威箱包配饰商品369|MK箱包配饰商品997|新秀丽箱包配饰商品905|外交官箱包配饰商品687
60,U001056,0.3961,0.26193,高意向,家用电器,爆款高转化池,P000904|P000206|P000946|P001013|P000285,格力家用电器商品379|美的家用电器商品467|松下家用电器商品394|海尔家用电器商品408|格力家用电器商品762
61,U003731,0.3961,0.348489,高意向,服装鞋包,爆款高转化池,P001734|P001740|P001694|P000314|P000970,ZARA服装鞋包商品462|耐克服装鞋包商品217|优衣库服装鞋包商品426|耐克服装鞋包商品620|海澜之家服装鞋包商品195
62,U003786,0.3959,0.338059,高意向,母婴用品,爆款高转化池,P000923|P001341|P001282|P000310|P000627,贝因美母婴用品商品502|花王母婴用品商品597|花王母婴用品商品885|强生母婴用品商品283|帮宝适母婴用品商品545
63,U004238,0.3959,0.341422,高意向,宠物用品,爆款高转化池,P000750|P000035|P001710|P000996|P000462,冠能宠物用品商品494|皇家宠物用品商品286|网易严选宠物用品商品732|麦富迪宠物用品商品635|冠能宠物用品商品709
64,U000455,0.3958,0.339741,高意向,食品生鲜,爆款高转化池,P000080|P001955|P000818|P001304|P001988,伊利食品生鲜商品963|百草味食品生鲜商品833|金龙鱼食品生鲜商品198|五粮液食品生鲜商品181|良品铺子食品生鲜商品482
65,U001037,0.3958,0.346849,高意向,汽车用品,爆款高转化池,P001927|P001490|P000410|P001675|P000547,米其林汽车用品商品720|壳牌汽车用品商品142|固特异汽车用品商品584|3M汽车用品商品220|卡仕达汽车用品商品137
66,U000431,0.3957,0.344362,高意向,家用电器,爆款高转化池,P000904|P000206|P000946|P001013|P000285,格力家用电器商品379|美的家用电器商品467|松下家用电器商品394|海尔家用电器商品408|格力家用电器商品762
67,U003792,0.3956,0.335846,高意向,图书音像,爆款高转化池,P001182|P000992|P001207|P001242|P001223,当当图书音像商品607|人民邮电出版社图书音像商品329|京东图书图书音像商品505|人民邮电出版社图书音像商品170|京东图书图书音像商品628
68,U000219,0.3954,0.234945,高意向,礼品鲜花,爆款高转化池,P001016|P000831|P001489|P000018|P001157,野兽派礼品鲜花商品306|Roseonly礼品鲜花商品580|诺誓礼品鲜花商品189|诺誓礼品鲜花商品463|施华洛世奇礼品鲜花商品442
69,U002768,0.3954,0.233911,高意向,食品生鲜,爆款高转化池,P000080|P001955|P000818|P001304|P001988,伊利食品生鲜商品963|百草味食品生鲜商品833|金龙鱼食品生鲜商品198|五粮液食品生鲜商品181|良品铺子食品生鲜商品482
70,U003609,0.3952,0.346377,高意向,手机数码,爆款高转化池,P000808|P001509|P000688|P000498|P001082,华为手机数码商品883|三星手机数码商品747|华为手机数码商品474|三星手机数码商品800|小米手机数码商品672
71,U003240,0.3951,0.352027,高意向,手机数码,爆款高转化池,P000808|P001509|P000688|P000498|P001082,华为手机数码商品883|三星手机数码商品747|华为手机数码商品474|三星手机数码商品800|小米手机数码商品672
72,U004356,0.3951,0.342047,高意向,食品生鲜,爆款高转化池,P000080|P001955|P000818|P001304|P001988,伊利食品生鲜商品963|百草味食品生鲜商品833|金龙鱼食品生鲜商品198|五粮液食品生鲜商品181|良品铺子食品生鲜商品482
73,U001827,0.3949,0.339241,高意向,美妆护肤,爆款高转化池,P000532|P000773|P000947|P000971|P001402,珀莱雅美妆护肤商品523|自然堂美妆护肤商品332|珀莱雅美妆护肤商品976|SK-II美妆护肤商品867|珀莱雅美妆护肤商品932
74,U004886,0.3949,0.257697,高意向,食品生鲜,爆款高转化池,P000080|P001955|P000818|P001304|P001988,伊利食品生鲜商品963|百草味食品生鲜商品833|金龙鱼食品生鲜商品198|五粮液食品生鲜商品181|良品铺子食品生鲜商品482
75,U003832,0.3948,0.343327,高意向,运动户外,爆款高转化池,P001787|P001427|P000783|P000134|P000168,361度运动户外商品484|骆驼运动户外商品702|哥伦比亚运动户外商品762|哥伦比亚运动户外商品544|李宁运动户外商品543
76,U004438,0.3947,0.340459,高意向,食品生鲜,爆款高转化池,P000080|P001955|P000818|P001304|P001988,伊利食品生鲜商品963|百草味食品生鲜商品833|金龙鱼食品生鲜商品198|五粮液食品生鲜商品181|良品铺子食品生鲜商品482
77,U004467,0.3947,0.356148,高意向,礼品鲜花,爆款高转化池,P001016|P000831|P001489|P000018|P001157,野兽派礼品鲜花商品306|Roseonly礼品鲜花商品580|诺誓礼品鲜花商品189|诺誓礼品鲜花商品463|施华洛世奇礼品鲜花商品442
78,U000699,0.3946,0.322437,高意向,食品生鲜,爆款高转化池,P000080|P001955|P000818|P001304|P001988,伊利食品生鲜商品963|百草味食品生鲜商品833|金龙鱼食品生鲜商品198|五粮液食品生鲜商品181|良品铺子食品生鲜商品482
79,U001595,0.3946,0.336672,高意向,图书音像,爆款高转化池,P001182|P000992|P001207|P001242|P001223,当当图书音像商品607|人民邮电出版社图书音像商品329|京东图书图书音像商品505|人民邮电出版社图书音像商品170|京东图书图书音像商品628
80,U004194,0.3946,0.249267,高意向,服装鞋包,爆款高转化池,P001734|P001740|P001694|P000314|P000970,ZARA服装鞋包商品462|耐克服装鞋包商品217|优衣库服装鞋包商品426|耐克服装鞋包商品620|海澜之家服装鞋包商品195
81,U001582,0.3945,0.347319,高意向,珠宝首饰,爆款高转化池,P000538|P000126|P001784|P000192|P000551,老凤祥珠宝首饰商品443|周生生珠宝首饰商品232|老凤祥珠宝首饰商品799|老凤祥珠宝首饰商品808|老凤祥珠宝首饰商品566
82,U004508,0.3945,0.345979,高意向,家用电器,爆款高转化池,P000904|P000206|P000946|P001013|P000285,格力家用电器商品379|美的家用电器商品467|松下家用电器商品394|海尔家用电器商品408|格力家用电器商品762
83,U004902,0.3945,0.255399,高意向,医药保健,爆款高转化池,P000094|P001052|P001079|P000375|P000355,钙尔奇医药保健商品391|钙尔奇医药保健商品186|九芝堂医药保健商品943|东阿阿胶医药保健商品523|云南白药医药保健商品473
84,U003041,0.3944,0.228376,高意向,图书音像,爆款高转化池,P001182|P000992|P001207|P001242|P001223,当当图书音像商品607|人民邮电出版社图书音像商品329|京东图书图书音像商品505|人民邮电出版社图书音像商品170|京东图书图书音像商品628
85,U003437,0.3944,0.356351,高意向,母婴用品,爆款高转化池,P000923|P001341|P001282|P000310|P000627,贝因美母婴用品商品502|花王母婴用品商品597|花王母婴用品商品885|强生母婴用品商品283|帮宝适母婴用品商品545
86,U002093,0.3943,0.267368,高意向,家居家装,爆款高转化池,P000883|P000221|P001102|P001151|P001129,顾家家居家居家装商品927|曲美家居家装商品318|马可波罗家居家装商品703|宜家家居家装商品838|曲美家居家装商品570
87,U003048,0.3943,0.258909,高意向,珠宝首饰,爆款高转化池,P000538|P000126|P001784|P000192|P000551,老凤祥珠宝首饰商品443|周生生珠宝首饰商品232|老凤祥珠宝首饰商品799|老凤祥珠宝首饰商品808|老凤祥珠宝首饰商品566
88,U004469,0.3943,0.32999,高意向,珠宝首饰,爆款高转化池,P000538|P000126|P001784|P000192|P000551,老凤祥珠宝首饰商品443|周生生珠宝首饰商品232|老凤祥珠宝首饰商品799|老凤祥珠宝首饰商品808|老凤祥珠宝首饰商品566
89,U004963,0.3941,0.247668,高意向,汽车用品,爆款高转化池,P001927|P001490|P000410|P001675|P000547,米其林汽车用品商品720|壳牌汽车用品商品142|固特异汽车用品商品584|3M汽车用品商品220|卡仕达汽车用品商品137
90,U001509,0.394,0.34043,高意向,家用电器,爆款高转化池,P000904|P000206|P000946|P001013|P000285,格力家用电器商品379|美的家用电器商品467|松下家用电器商品394|海尔家用电器商品408|格力家用电器商品762
91,U002301,0.394,0.344928,高意向,运动户外,爆款高转化池,P001787|P001427|P000783|P000134|P000168,361度运动户外商品484|骆驼运动户外商品702|哥伦比亚运动户外商品762|哥伦比亚运动户外商品544|李宁运动户外商品543
92,U000617,0.3939,0.346979,高意向,图书音像,爆款高转化池,P001182|P000992|P001207|P001242|P001223,当当图书音像商品607|人民邮电出版社图书音像商品329|京东图书图书音像商品505|人民邮电出版社图书音像商品170|京东图书图书音像商品628
93,U003303,0.3937,0.346135,高意向,箱包配饰,爆款高转化池,P000784|P000262|P001766|P000070|P001698,LV箱包配饰商品872|瑞士军威箱包配饰商品369|MK箱包配饰商品997|新秀丽箱包配饰商品905|外交官箱包配饰商品687
94,U004670,0.3937,0.351933,高意向,家居家装,爆款高转化池,P000883|P000221|P001102|P001151|P001129,顾家家居家居家装商品927|曲美家居家装商品318|马可波罗家居家装商品703|宜家家居家装商品838|曲美家居家装商品570
95,U000422,0.3936,0.341545,高意向,宠物用品,爆款高转化池,P000750|P000035|P001710|P000996|P000462,冠能宠物用品商品494|皇家宠物用品商品286|网易严选宠物用品商品732|麦富迪宠物用品商品635|冠能宠物用品商品709
96,U001438,0.3936,0.27636,高意向,箱包配饰,爆款高转化池,P000784|P000262|P001766|P000070|P001698,LV箱包配饰商品872|瑞士军威箱包配饰商品369|MK箱包配饰商品997|新秀丽箱包配饰商品905|外交官箱包配饰商品687
97,U001635,0.3936,0.233738,高意向,图书音像,爆款高转化池,P001182|P000992|P001207|P001242|P001223,当当图书音像商品607|人民邮电出版社图书音像商品329|京东图书图书音像商品505|人民邮电出版社图书音像商品170|京东图书图书音像商品628
98,U002477,0.3936,0.336701,高意向,服装鞋包,爆款高转化池,P001734|P001740|P001694|P000314|P000970,ZARA服装鞋包商品462|耐克服装鞋包商品217|优衣库服装鞋包商品426|耐克服装鞋包商品620|海澜之家服装鞋包商品195
99,U002784,0.3936,0.324636,高意向,汽车用品,爆款高转化池,P001927|P001490|P000410|P001675|P000547,米其林汽车用品商品720|壳牌汽车用品商品142|固特异汽车用品商品584|3M汽车用品商品220|卡仕达汽车用品商品137
100,U003867,0.3936,0.270353,高意向,食品生鲜,爆款高转化池,P000080|P001955|P000818|P001304|P001988,伊利食品生鲜商品963|百草味食品生鲜商品833|金龙鱼食品生鲜商品198|五粮液食品生鲜商品181|良品铺子食品生鲜商品482
101,U003941,0.3935,0.355832,高意向,家居家装,爆款高转化池,P000883|P000221|P001102|P001151|P001129,顾家家居家居家装商品927|曲美家居家装商品318|马可波罗家居家装商品703|宜家家居家装商品838|曲美家居家装商品570
102,U002547,0.3934,0.345491,高意向,珠宝首饰,爆款高转化池,P000538|P000126|P001784|P000192|P000551,老凤祥珠宝首饰商品443|周生生珠宝首饰商品232|老凤祥珠宝首饰商品799|老凤祥珠宝首饰商品808|老凤祥珠宝首饰商品566
103,U003889,0.3934,0.33959,高意向,家居家装,爆款高转化池,P000883|P000221|P001102|P001151|P001129,顾家家居家居家装商品927|曲美家居家装商品318|马可波罗家居家装商品703|宜家家居家装商品838|曲美家居家装商品570
104,U002528,0.3933,0.238896,高意向,珠宝首饰,爆款高转化池,P000538|P000126|P001784|P000192|P000551,老凤祥珠宝首饰商品443|周生生珠宝首饰商品232|老凤祥珠宝首饰商品799|老凤祥珠宝首饰商品808|老凤祥珠宝首饰商品566
105,U003642,0.3933,0.266438,高意向,家用电器,爆款高转化池,P000904|P000206|P000946|P001013|P000285,格力家用电器商品379|美的家用电器商品467|松下家用电器商品394|海尔家用电器商品408|格力家用电器商品762
106,U000340,0.3932,0.345784,高意向,箱包配饰,爆款高转化池,P000784|P000262|P001766|P000070|P001698,LV箱包配饰商品872|瑞士军威箱包配饰商品369|MK箱包配饰商品997|新秀丽箱包配饰商品905|外交官箱包配饰商品687
107,U001189,0.3932,0.344432,高意向,服装鞋包,爆款高转化池,P001734|P001740|P001694|P000314|P000970,ZARA服装鞋包商品462|耐克服装鞋包商品217|优衣库服装鞋包商品426|耐克服装鞋包商品620|海澜之家服装鞋包商品195
108,U003373,0.3932,0.323438,高意向,食品生鲜,爆款高转化池,P000080|P001955|P000818|P001304|P001988,伊利食品生鲜商品963|百草味食品生鲜商品833|金龙鱼食品生鲜商品198|五粮液食品生鲜商品181|良品铺子食品生鲜商品482
109,U000425,0.3931,0.352063,高意向,医药保健,爆款高转化池,P000094|P001052|P001079|P000375|P000355,钙尔奇医药保健商品391|钙尔奇医药保健商品186|九芝堂医药保健商品943|东阿阿胶医药保健商品523|云南白药医药保健商品473
110,U000768,0.3931,0.341712,高意向,运动户外,爆款高转化池,P001787|P001427|P000783|P000134|P000168,361度运动户外商品484|骆驼运动户外商品702|哥伦比亚运动户外商品762|哥伦比亚运动户外商品544|李宁运动户外商品543
111,U001034,0.3931,0.226994,高意向,手机数码,爆款高转化池,P000808|P001509|P000688|P000498|P001082,华为手机数码商品883|三星手机数码商品747|华为手机数码商品474|三星手机数码商品800|小米手机数码商品672
112,U002837,0.3931,0.206509,高意向,服装鞋包,爆款高转化池,P001734|P001740|P001694|P000314|P000970,ZARA服装鞋包商品462|耐克服装鞋包商品217|优衣库服装鞋包商品426|耐克服装鞋包商品620|海澜之家服装鞋包商品195
113,U004358,0.3931,0.330684,高意向,运动户外,爆款高转化池,P001787|P001427|P000783|P000134|P000168,361度运动户外商品484|骆驼运动户外商品702|哥伦比亚运动户外商品762|哥伦比亚运动户外商品544|李宁运动户外商品543
114,U004906,0.393,0.341443,高意向,箱包配饰,爆款高转化池,P000784|P000262|P001766|P000070|P001698,LV箱包配饰商品872|瑞士军威箱包配饰商品369|MK箱包配饰商品997|新秀丽箱包配饰商品905|外交官箱包配饰商品687
115,U001174,0.3928,0.254631,高意向,家居家装,爆款高转化池,P000883|P000221|P001102|P001151|P001129,顾家家居家居家装商品927|曲美家居家装商品318|马可波罗家居家装商品703|宜家家居家装商品838|曲美家居家装商品570
